iter	Passed	Remaining
0	1058	1057072
1	1548	772478
2	2016	670089
3	2489	619773
4	2878	572730
5	3293	545543
6	3724	528313
7	4108	509508
8	4712	518914
9	5184	513262
10	5705	513019
11	6220	512142
12	6616	502354
13	7040	495862
14	7468	490443
15	7856	483181
16	8304	480193
17	8772	478605
18	9180	473979
19	9617	471276
20	10074	469653
21	10478	465814
22	10948	465067
23	11374	462552
24	11763	458791
25	12191	456730
26	12621	454856
27	13160	456865
28	14018	469394
29	14555	470617
30	15008	469130
31	15666	473920
32	16435	481602
33	16996	482902
34	17574	484565
35	18100	484704
36	18626	484792
37	19269	487823
38	19783	487473
39	20219	485272
40	20691	483983
41	21132	482013
42	21548	479582
43	21957	477075
44	22364	474616
45	22817	473204
46	23303	472509
47	23812	472281
48	24258	470815
49	24722	469727
50	25167	468317
51	25774	469891
52	26304	470001
53	26823	469900
54	27324	469482
55	27803	468690
56	28280	467872
57	28829	468238
58	29380	468589
59	29841	467523
60	30304	466486
61	30746	465164
62	31259	464925
63	31722	463946
64	32208	463302
65	32748	463439
66	33269	463295
67	33787	463081
68	34247	462092
69	34794	462275
70	35274	461554
71	35749	460775
72	36211	459833
73	36627	458339
74	37048	456931
75	37482	455708
76	37963	455071
77	38439	454380
78	38952	454120
79	39433	453484
80	39927	453003
81	40706	455711
82	41376	457130
83	41943	457385
84	42478	457266
85	42989	456885
86	43578	457327
87	44239	458477
88	44854	459125
89	45449	459540
90	46143	460930
91	46665	460567
92	47234	460663
93	47824	460945
94	48374	460829
95	48957	461020
96	49529	461084
97	50130	461402
98	50714	461549
99	51320	461887
100	51908	462037
101	52483	462056
102	53064	462123
103	53669	462382
104	54153	461596
105	54654	460951
106	55127	460084
107	55591	459146
108	56041	458102
109	56452	456753
110	56954	456149
111	57470	455655
112	57961	454969
113	58406	453928
114	58900	453276
115	59393	452621
116	59839	451612
117	60267	450470
118	60686	449285
119	61224	448983
120	61761	448664
121	62296	448331
122	62886	448388
123	63638	449573
124	64472	451306
125	65200	452261
126	65847	452638
127	66391	452293
128	66894	451665
129	67441	451337
